fid,UBIGEO,CODCP,DEPARTAMEN,PROVINCIA,DISTRITO,CEN_POB,CAPITAL,POB,VIV,Y,X,FUENTE_FIN,Altitud
"49060","100101","1001010001",HUANUCO,HUANUCO,HUANUCO,HUANUCO,Departamental,"84612","24226",-9.930078,-76.239855,CENSO,1900
"49061","100101","1001010002",HUANUCO,HUANUCO,HUANUCO,TRES DE MAYO DE YANACOCHA,,"94","29",-9.833533,-76.382528,CENSO,3507
"49062","100101","1001010003",HUANUCO,HUANUCO,HUANUCO,YURACYACU,,"39","16",-9.904455,-76.32493,CENSO,2283
"49063","100101","1001010004",HUANUCO,HUANUCO,HUANUCO,SAN ISIDRO DE CAPILLAPAMPA,,"43","19",-9.835398,-76.366533,CENSO,2972
"49064","100101","1001010005",HUANUCO,HUANUCO,HUANUCO,SANTO DOMINGO DE NAUYAN,,"66","39",-9.901854,-76.278535,CENSO,2826
"49065","100101","1001010006",HUANUCO,HUANUCO,HUANUCO,HUINISH,,"23","11",-9.888922,-76.287068,CENSO,3315
"49067","100101","1001010008",HUANUCO,HUANUCO,HUANUCO,QUEROCOCHA,,"52","17",-9.888546,-76.271096,CENSO,3113
"49069","100101","1001010010",HUANUCO,HUANUCO,HUANUCO,RIURA PAMPA,,"21","13",-9.899188,-76.246041,CENSO,2358
"49071","100101","1001010012",HUANUCO,HUANUCO,HUANUCO,COLPA BAJA,,"702","147",-9.880895,-76.21684,CENSO,1877
"49072","100101","1001010013",HUANUCO,HUANUCO,HUANUCO,HUACHOG,,"374","128",-9.876947,-76.203708,CENSO,1857
"49073","100101","1001010014",HUANUCO,HUANUCO,HUANUCO,CHUNAPAMPA,,"305","118",-9.888641,-76.225718,CENSO,1874
"49074","100101","1001010015",HUANUCO,HUANUCO,HUANUCO,AYAJAMANA,,"95","30",-9.899997,-76.229416,CENSO,1876
"49076","100101","1001010017",HUANUCO,HUANUCO,HUANUCO,UNAMARAN,,"32","10",-9.89818,-76.245554,CENSO,2373
"49077","100101","1001010018",HUANUCO,HUANUCO,HUANUCO,NAUYAN RONDOS,,"65","16",-9.897109,-76.264923,CENSO,2744
"49080","100101","1001010021",HUANUCO,HUANUCO,HUANUCO,YACUPUNTA,,"59","36",-9.923453,-76.265432,CENSO,2524
"49081","100101","1001010022",HUANUCO,HUANUCO,HUANUCO,CANCHAN,,"103","20",-9.920287,-76.309655,CENSO,1988
"49082","100101","1001010023",HUANUCO,HUANUCO,HUANUCO,HUAYACOTO,,"23","14",-9.922815,-76.325612,CENSO,2025
"49083","100101","1001010024",HUANUCO,HUANUCO,HUANUCO,MAMAYHUACHIN,,"52","27",-9.891623,-76.345797,PRECENSO,2709
"49084","100101","1001010025",HUANUCO,HUANUCO,HUANUCO,HUACALLE,,"40","22",-9.923393,-76.352908,PRECENSO,2082
"49089","100101","1001010030",HUANUCO,HUANUCO,HUANUCO,PUCUCHINCHE,,"268","90",-9.922961,-76.293909,CENSO,1981
"49090","100101","1001010031",HUANUCO,HUANUCO,HUANUCO,KOTOSH,,"51","12",-9.92899,-76.279389,CENSO,1960
"49091","100101","1001010032",HUANUCO,HUANUCO,HUANUCO,CONDIBAMBA,,"47","18",-9.932017,-76.276196,CENSO,1944
"49092","100101","1001010033",HUANUCO,HUANUCO,HUANUCO,YACUTOMA,,"117","29",-9.934689,-76.26771,CENSO,1933
"49094","100101","1001010036",HUANUCO,HUANUCO,HUANUCO,MARABAMBA,,"996","386",-9.94921,-76.26495,CENSO,2076
"49095","100101","1001010037",HUANUCO,HUANUCO,HUANUCO,PAMPA VERDE,,"146","66",-9.877884,-76.198369,CENSO,1844
"49096","100101","1001010038",HUANUCO,HUANUCO,HUANUCO,VISTA ALEGRE,,"74","21",-9.881868,-76.219832,CENSO,1886
"49097","100101","1001010039",HUANUCO,HUANUCO,HUANUCO,LA HACIENDA,,"25","11",-9.873393,-76.197443,CENSO,1848
"49107","100101","1001010054",HUANUCO,HUANUCO,HUANUCO,PICHIPAMPA,,"444","363",-9.942925,-76.268382,CENSO,2039
"49111","100101","1001010058",HUANUCO,HUANUCO,HUANUCO,PIQUITAMBO,,"43","12",-9.850637,-76.33854,CENSO,2584
"49112","100101","1001010059",HUANUCO,HUANUCO,HUANUCO,HUANCAN,,"93","32",-9.85963,-76.347468,CENSO,2949
"49113","100101","1001010060",HUANUCO,HUANUCO,HUANUCO,SANTA CRUZ DE YANAYACU,,"36","24",-9.860312,-76.323957,PRECENSO,2273
"49114","100101","1001010061",HUANUCO,HUANUCO,HUANUCO,AUGASH GRANDE,,"45","14",-9.849996,-76.353446,CENSO,3011
"49115","100101","1001010062",HUANUCO,HUANUCO,HUANUCO,AUGASH CHICO,,"38","13",-9.842745,-76.357954,CENSO,3018
"49116","100101","1001010063",HUANUCO,HUANUCO,HUANUCO,CERESA PAMPA,,"54","25",-9.908418,-76.38308,PRECENSO,2335
"49117","100102","1001020001",HUANUCO,HUANUCO,AMARILIS,PAUCARBAMBA,Distrital,"68735","19599",-9.940062,-76.240505,CENSO,1915
"49118","100102","1001020003",HUANUCO,HUANUCO,AMARILIS,LA ESPERANZA-SAN ANDRES,,"7598","2341",-9.895498,-76.219601,CENSO,1922
"49120","100102","1001020005",HUANUCO,HUANUCO,AMARILIS,CONOHUAYON,,"66","37",-9.933801,-76.17814,CENSO,2574
"49122","100102","1001020007",HUANUCO,HUANUCO,AMARILIS,ALLGAHUANCA,,"158","76",-9.909613,-76.191475,CENSO,2320
"49123","100102","1001020008",HUANUCO,HUANUCO,AMARILIS,CASHACORONA,,"22","27",-9.916784,-76.178495,CENSO,2573
"49124","100102","1001020009",HUANUCO,HUANUCO,AMARILIS,MATAMARCA,,"114","52",-9.911666,-76.201444,CENSO,2181
"49125","100102","1001020010",HUANUCO,HUANUCO,AMARILIS,CACHUNA,,"65","30",-9.919043,-76.191444,CENSO,2327
"49126","100102","1001020011",HUANUCO,HUANUCO,AMARILIS,SHAIRICANCHA,,"180","83",-9.918354,-76.179654,CENSO,2526
"49127","100102","1001020012",HUANUCO,HUANUCO,AMARILIS,MONTEPAMPA,,"80","29",-9.926763,-76.149268,CENSO,2989
"49128","100102","1001020013",HUANUCO,HUANUCO,AMARILIS,LLANQUIPAMPA,,"357","180",-9.922684,-76.160884,CENSO,2824
"49129","100102","1001020014",HUANUCO,HUANUCO,AMARILIS,PAPAYAYOG,,"25","11",-9.919008,-76.169628,CENSO,2650
"49130","100102","1001020015",HUANUCO,HUANUCO,AMARILIS,VILCABAMBA,,"234","146",-9.928675,-76.163123,CENSO,2848
"49131","100102","1001020016",HUANUCO,HUANUCO,AMARILIS,MALCONGA,,"489","296",-9.925993,-76.168064,CENSO,2699
"49133","100102","1001020018",HUANUCO,HUANUCO,AMARILIS,CANCALLA,,"95","30",-9.942807,-76.157376,CENSO,2878
"49134","100102","1001020019",HUANUCO,HUANUCO,AMARILIS,HUARIPAMPA,,"62","30",-9.941883,-76.169903,CENSO,2759
"49135","100102","1001020020",HUANUCO,HUANUCO,AMARILIS,SAN JOSE DE PAUCAR,,"185","123",-9.941695,-76.17445,CENSO,2780
"49136","100102","1001020021",HUANUCO,HUANUCO,AMARILIS,PATRON PAMPA,,"23","13",-9.925344,-76.193233,CENSO,2343
"49138","100102","1001020023",HUANUCO,HUANUCO,AMARILIS,CERRO ALEGRE,,"89","36",-9.960485,-76.1962,CENSO,3066
"49139","100102","1001020024",HUANUCO,HUANUCO,AMARILIS,SARIAPAMPA,,"217","113",-9.923328,-76.186085,CENSO,2416
"49140","100102","1001020025",HUANUCO,HUANUCO,AMARILIS,SAN SEBASTIAN DE SHISMAY,,"229","65",-9.960758,-76.159138,CENSO,3179
"49142","100102","1001020027",HUANUCO,HUANUCO,AMARILIS,MACCHI,,"46","24",-9.944498,-76.19454,CENSO,3045
"49143","100102","1001020028",HUANUCO,HUANUCO,AMARILIS,PALTAYNIOG,,"84","32",-9.978815,-76.187625,CENSO,2985
"49144","100102","1001020029",HUANUCO,HUANUCO,AMARILIS,COLPA ALTA,,"655","205",-9.98119,-76.240808,CENSO,1940
"49145","100102","1001020030",HUANUCO,HUANUCO,AMARILIS,CHICCHUY,,"137","56",-9.97438,-76.202766,CENSO,2553
"49146","100102","1001020031",HUANUCO,HUANUCO,AMARILIS,ROSAPAMPA,,"136","57",-9.984543,-76.209755,CENSO,2379
"49147","100102","1001020032",HUANUCO,HUANUCO,AMARILIS,SAN ANTONIO DE PANAOPAMPA,,"85","50",-9.988873,-76.188935,CENSO,2953
"49148","100102","1001020033",HUANUCO,HUANUCO,AMARILIS,YACA,,"181","74",-10.004658,-76.206737,CENSO,2397
"49149","100102","1001020036",HUANUCO,HUANUCO,AMARILIS,MATIBAMBA,,"68","47",-10.011658,-76.231868,PRECENSO,1953
"49152","100102","1001020041",HUANUCO,HUANUCO,AMARILIS,LA NUEVA FLORIDA,,"119","37",-9.912014,-76.198582,CENSO,2198
"49153","100102","1001020043",HUANUCO,HUANUCO,AMARILIS,PUCANANE,,"31","9",-9.91749,-76.160546,CENSO,2899
"49155","100102","1001020045",HUANUCO,HUANUCO,AMARILIS,YANAGJIRCA,,"31","19",-9.928111,-76.21301,CENSO,2740
"49156","100102","1001020046",HUANUCO,HUANUCO,AMARILIS,PUENTE PIEDRA,,"79","49",-9.932567,-76.169157,CENSO,2601
"49159","100102","1001020049",HUANUCO,HUANUCO,AMARILIS,UMPA,,"20","14",-9.951492,-76.171002,CENSO,3117
"49163","100102","1001020053",HUANUCO,HUANUCO,AMARILIS,HUAYAPUCRO,,"69","20",-9.97695,-76.220791,CENSO,2448
"49165","100102","1001020055",HUANUCO,HUANUCO,AMARILIS,ISCUPATA,,"65","29",-9.984795,-76.234335,CENSO,2031
"49166","100102","1001020056",HUANUCO,HUANUCO,AMARILIS,QUITASOL,,"92","37",-9.981124,-76.235059,CENSO,1990
"49172","100102","1001020062",HUANUCO,HUANUCO,AMARILIS,CANCHABAMBA,,"29","15",-9.988486,-76.227273,CENSO,2155
"49176","100102","1001020066",HUANUCO,HUANUCO,AMARILIS,BELLA VISTA,,"95","23",-9.995692,-76.192418,CENSO,2741
"49178","100102","1001020071",HUANUCO,HUANUCO,AMARILIS,CHACASPATA,,"89","29",-10.009777,-76.224267,CENSO,2131
"49180","100102","1001020077",HUANUCO,HUANUCO,AMARILIS,PACAN,,"52","17",-9.95356,-76.220824,CENSO,2426
"49181","100103","1001030001",HUANUCO,HUANUCO,CHINCHAO,ACOMAYO,Distrital,"2012","635",-9.801585,-76.070855,CENSO,2096
"49182","100103","1001030004",HUANUCO,HUANUCO,CHINCHAO,EXPEDICION,,"41","48",-9.502452,-75.969163,CENSO,1156
"49183","100103","1001030007",HUANUCO,HUANUCO,CHINCHAO,SAN JUAN DE MONTERREY,,"75","43",-9.513403,-75.932583,CENSO,802
"49184","100103","1001030008",HUANUCO,HUANUCO,CHINCHAO,CAYUMBA CHICO,,"22","30",-9.496965,-76.034258,CENSO,859
"49186","100103","1001030010",HUANUCO,HUANUCO,CHINCHAO,SAN JUAN DE CAYUMBA ALTA,,"76","42",-9.51119,-76.041273,CENSO,1590
"49187","100103","1001030011",HUANUCO,HUANUCO,CHINCHAO,BUENOS AIRES,,"49","44",-9.51086,-75.965992,CENSO,1262
"49188","100103","1001030012",HUANUCO,HUANUCO,CHINCHAO,HUACHIPA,,"214","84",-9.524027,-75.954467,CENSO,788
"49189","100103","1001030016",HUANUCO,HUANUCO,CHINCHAO,VISTA ALEGRE DE HUACHIPA,,"92","57",-9.543786,-75.951584,CENSO,1291
"49190","100103","1001030017",HUANUCO,HUANUCO,CHINCHAO,SAN JUAN DE COCHEROS,,"42","33",-9.541163,-75.93703,CENSO,1266
"49191","100103","1001030018",HUANUCO,HUANUCO,CHINCHAO,SAN LUIS DE LEON PAMPA,,"215","75",-9.544993,-75.980425,CENSO,1296
"49192","100103","1001030019",HUANUCO,HUANUCO,CHINCHAO,VILLA PARAISO,,"67","32",-9.53372,-76.020335,CENSO,1375
