fid,population,full_id,name,pe_ubigeo
2,196,r1954518,Cholón,"100702"
3,344,r1954518,Cholón,"100702"
7,76,r1954518,Cholón,"100702"
10,44,r1954518,Cholón,"100702"
11,120,r1954518,Cholón,"100702"
12,32,r1954518,Cholón,"100702"
13,44,r1954518,Cholón,"100702"
14,66,r1954518,Cholón,"100702"
15,213,r1954518,Cholón,"100702"
20,27,r1954518,Cholón,"100702"
21,60,r1954518,Cholón,"100702"
22,33,r1954518,Cholón,"100702"
23,163,r1954518,Cholón,"100702"
24,710,r1954518,Cholón,"100702"
25,126,r1954518,Cholón,"100702"
26,229,r1954518,Cholón,"100702"
29,27,r1954518,Cholón,"100702"
33,38,r1954518,Cholón,"100702"
34,82,r1954518,Cholón,"100702"
35,93,r1954518,Cholón,"100702"
36,142,r1954518,Cholón,"100702"
37,109,r1954518,Cholón,"100702"
38,55,r1954518,Cholón,"100702"
42,175,r7870744,Pucayacu,"100607"
46,83,r7870744,Pucayacu,"100607"
51,63,r7870744,Pucayacu,"100607"
52,28,r7870744,Pucayacu,"100607"
54,105,r7870744,Pucayacu,"100607"
55,28,r7870744,Pucayacu,"100607"
59,481,r7870744,Pucayacu,"100607"
60,174,r7870744,Pucayacu,"100607"
61,181,r7870744,Pucayacu,"100607"
64,481,r7870744,Pucayacu,"100607"
65,397,r7870744,Pucayacu,"100607"
66,398,r7870744,Pucayacu,"100607"
67,209,r7870744,Pucayacu,"100607"
68,28,r7870744,Pucayacu,"100607"
72,168,r7870744,Pucayacu,"100607"
76,204,r1954538,José Crespo y Castillo,"100604"
77,82,r7870393,La Morada,"100704"
78,249,r7870393,La Morada,"100704"
79,44,r7870393,La Morada,"100704"
80,202,r7870393,La Morada,"100704"
82,121,r7870393,La Morada,"100704"
84,182,r7870744,Pucayacu,"100607"
85,62,r1954538,José Crespo y Castillo,"100604"
86,370,r7870744,Pucayacu,"100607"
87,153,r7870744,Pucayacu,"100607"
88,25,r7870744,Pucayacu,"100607"
89,112,r7870744,Pucayacu,"100607"
94,112,r7870744,Pucayacu,"100607"
95,28,r7870744,Pucayacu,"100607"
101,98,r7870744,Pucayacu,"100607"
103,1261,r1954538,José Crespo y Castillo,"100604"
104,63,r1954538,José Crespo y Castillo,"100604"
105,565,r1954538,José Crespo y Castillo,"100604"
106,160,r1954538,José Crespo y Castillo,"100604"
107,223,r1954538,José Crespo y Castillo,"100604"
108,70,r1954538,José Crespo y Castillo,"100604"
110,118,r1954538,José Crespo y Castillo,"100604"
113,467,r1954538,José Crespo y Castillo,"100604"
114,49,r1954538,José Crespo y Castillo,"100604"
115,300,r1954538,José Crespo y Castillo,"100604"
116,104,r1954538,José Crespo y Castillo,"100604"
118,35,r1954538,José Crespo y Castillo,"100604"
122,306,r1954538,José Crespo y Castillo,"100604"
124,182,r1954538,José Crespo y Castillo,"100604"
125,251,r1954538,José Crespo y Castillo,"100604"
140,28,r1954538,José Crespo y Castillo,"100604"
145,83,r1954538,José Crespo y Castillo,"100604"
150,42,r7871123,Santo Domingo de Anda,"100610"
151,77,r7871123,Santo Domingo de Anda,"100610"
152,48,r7871123,Santo Domingo de Anda,"100610"
153,63,r7871123,Santo Domingo de Anda,"100610"
154,530,r7871123,Santo Domingo de Anda,"100610"
155,72,r1954562,Rupa-Rupa,"100601"
156,136,r1954562,Rupa-Rupa,"100601"
157,73,r7873469,Pueblo Nuevo,"100609"
158,1077,r1954562,Rupa-Rupa,"100601"
159,348,r7873469,Pueblo Nuevo,"100609"
160,35,r7873469,Pueblo Nuevo,"100609"
161,56,r7873469,Pueblo Nuevo,"100609"
162,767,r7873469,Pueblo Nuevo,"100609"
163,836,r7871123,Santo Domingo de Anda,"100610"
164,49,r1954538,José Crespo y Castillo,"100604"
165,56,r1954538,José Crespo y Castillo,"100604"
168,91,r1954538,José Crespo y Castillo,"100604"
170,125,r1954538,José Crespo y Castillo,"100604"
175,35,r7871123,Santo Domingo de Anda,"100610"
176,35,r7873469,Pueblo Nuevo,"100609"
177,97,r1954538,José Crespo y Castillo,"100604"
180,70,r7871123,Santo Domingo de Anda,"100610"
181,112,r7871123,Santo Domingo de Anda,"100610"
182,62,r7871123,Santo Domingo de Anda,"100610"
183,28,r7871123,Santo Domingo de Anda,"100610"
187,56,r7871123,Santo Domingo de Anda,"100610"
189,118,r7871123,Santo Domingo de Anda,"100610"
190,70,r7871123,Santo Domingo de Anda,"100610"
191,35,r7873469,Pueblo Nuevo,"100609"
196,265,r7873469,Pueblo Nuevo,"100609"
197,27,r7873469,Pueblo Nuevo,"100609"
198,35,r7873469,Pueblo Nuevo,"100609"
201,28,r7871123,Santo Domingo de Anda,"100610"
202,42,r7871123,Santo Domingo de Anda,"100610"
204,35,r7871123,Santo Domingo de Anda,"100610"
205,90,r7871123,Santo Domingo de Anda,"100610"
208,133,r7871123,Santo Domingo de Anda,"100610"
211,34,r1954538,José Crespo y Castillo,"100604"
215,35,r7871123,Santo Domingo de Anda,"100610"
216,70,r7871123,Santo Domingo de Anda,"100610"
218,327,r7871123,Santo Domingo de Anda,"100610"
221,91,r7871123,Santo Domingo de Anda,"100610"
223,28,r7870393,La Morada,"100704"
225,47,r1954538,José Crespo y Castillo,"100604"
228,91,r1954538,José Crespo y Castillo,"100604"
232,251,r1954538,José Crespo y Castillo,"100604"
233,83,r1954538,José Crespo y Castillo,"100604"
234,1722,r1954538,José Crespo y Castillo,"100604"
235,118,r1954538,José Crespo y Castillo,"100604"
236,42,r1954538,José Crespo y Castillo,"100604"
238,293,r1954538,José Crespo y Castillo,"100604"
239,195,r1954538,José Crespo y Castillo,"100604"
240,3088,r1954538,José Crespo y Castillo,"100604"
241,1477,r1954538,José Crespo y Castillo,"100604"
242,2426,r1954538,José Crespo y Castillo,"100604"
243,1024,r1954538,José Crespo y Castillo,"100604"
245,69,r1954538,José Crespo y Castillo,"100604"
246,84,r1954538,José Crespo y Castillo,"100604"
247,28,r1954538,José Crespo y Castillo,"100604"
248,34,r1954538,José Crespo y Castillo,"100604"
249,63,r1954538,José Crespo y Castillo,"100604"
250,84,r1954538,José Crespo y Castillo,"100604"
254,51,r7870393,La Morada,"100704"
256,28,r1954538,José Crespo y Castillo,"100604"
261,35,r1954538,José Crespo y Castillo,"100604"
262,28,r1954538,José Crespo y Castillo,"100604"
263,181,r1954538,José Crespo y Castillo,"100604"
265,77,r1954538,José Crespo y Castillo,"100604"
270,34,r1954538,José Crespo y Castillo,"100604"
272,56,r1954538,José Crespo y Castillo,"100604"
282,28,r7870744,Pucayacu,"100607"
285,133,r7870744,Pucayacu,"100607"
289,104,r1954538,José Crespo y Castillo,"100604"
293,35,r1954538,José Crespo y Castillo,"100604"
298,98,r1954538,José Crespo y Castillo,"100604"
299,1233,r1954538,José Crespo y Castillo,"100604"
300,167,r1954538,José Crespo y Castillo,"100604"
301,119,r1954538,José Crespo y Castillo,"100604"
305,418,r1954538,José Crespo y Castillo,"100604"
306,460,r1954538,José Crespo y Castillo,"100604"
308,335,r1954538,José Crespo y Castillo,"100604"
310,69,r1954538,José Crespo y Castillo,"100604"
311,84,r1954538,José Crespo y Castillo,"100604"
315,42,r1954518,Cholón,"100702"
317,33,r1954518,Cholón,"100702"
328,121,r1954518,Cholón,"100702"
329,43,r1954518,Cholón,"100702"
330,44,r1954518,Cholón,"100702"
333,73,r7870393,La Morada,"100704"
334,333,r7870441,Santa Rosa de Alto Yanajanca,"100705"
335,28,r7870441,Santa Rosa de Alto Yanajanca,"100705"
336,199,r7870441,Santa Rosa de Alto Yanajanca,"100705"
343,38,r7870441,Santa Rosa de Alto Yanajanca,"100705"
345,115,r7870441,Santa Rosa de Alto Yanajanca,"100705"
347,43,r7870441,Santa Rosa de Alto Yanajanca,"100705"
349,595,r7870393,La Morada,"100704"
350,104,r7870393,La Morada,"100704"
354,39,r7870441,Santa Rosa de Alto Yanajanca,"100705"
356,72,r1954518,Cholón,"100702"
364,148,r1954518,Cholón,"100702"
367,54,r1954518,Cholón,"100702"
373,60,r1954518,Cholón,"100702"
